http://rs.tdwg.org/dwc/terms/verbatimLatitude,verbatimLatitude
http://rs.tdwg.org/dwc/terms/verbatimLongitude,verbatimLongitude
http://rs.tdwg.org/dwc/terms/coordinatePrecision,coordinatePrecision
http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem,verbatimCoordinateSystem
http://rs.tdwg.org/dwc/terms/verbatimSRS,verbatimSRS
http://rs.tdwg.org/dwc/terms/locationRemarks,locationRemarks
http://rs.tdwg.org/dwc/terms/associatedTaxa,associatedTaxa
http://wiki.tdwg.org/twiki/bin/view/ABCD/AbcdConcept0850,abcd_AssemblageID
http://www.chah.org.au/hispid/terms/substrate,Substrate
http://www.chah.org.au/hispid/terms/soil,Soil
http://www.chah.org.au/hispid/terms/vegetation,Vegetation
http://www.chah.org.au/hispid/terms/aspect,Aspect
http://wiki.tdwg.org/twiki/bin/view/ABCD/AbcdConcept1433,abcd_UnitNotes
http://www.chah.org.au/hispid/terms/frequency,hispid_Frequency
http://www.chah.org.au/hispid/terms/habit,hispid_Habit
http://www.chah.org.au/hispid/terms/voucher,hispid_Voucher
http://rs.tdwg.org/dwc/terms/county,county
http://rs.tdwg.org/dwc/terms/continent,continent
http://www.chah.org.au/hispid/terms/subclass,subclass
http://rs.tdwg.org/dwc/terms/georeferencedDate,georeferencedDate
http://rs.tdwg.org/dwc/terms/georeferenceSources,georeferenceSources
http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus,georeferenceVerificationStatus
http://rs.tdwg.org/dwc/terms/georeferenceRemarks,georeferenceRemarks
http://rs.tdwg.org/dwc/terms/identificationID,identificationID
http://rs.tdwg.org/dwc/terms/lifeStage,lifeStage
