ExHerbCatalogueNumber,ExHerbCatalogueNumber,
Unit/HerbariumUnit/DuplicatesDistributedTo,DuplicatesDistributedTo,
Unit/HerbariumUnit/LoanDate,LoanDate,
Unit/HerbariumUnit/LoanDestination,LoanDestination,
Unit/HerbariumUnit/LoanForBotanist,LoanForBotanist,
Unit/HerbariumUnit/LoanIdentifier,LoanIdentifier,
Unit/HerbariumUnit/LoanReturnDate,LoanReturnDate,
"Unit/Gathering/NamedAreas/NamedArea[AreaClass=""Australian Herbarium Region""]/AreaName",Australian Herbarium Region,
"Unit/Gathering/NamedAreas/NamedArea[AreaClass=""IBRA region""]/AreaName",IBRARegion,
"Unit/Gathering/NamedAreas/NamedArea[AreaClass=""IBRA subregion""]/AreaName",IBRASubregion,
"Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised[Parameter=""Phenology""]/LowerValue",Phenology,Unit/UnitExtension/HispidUnit/Phenology will also work
"Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised[Parameter=""CultivatedOccurrence""]/LowerValue",CultivatedOccurrence,Unit/HerbariumUnit/CultivatedOccurrence will also work
"Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised[Parameter=""NaturalOccurrence""]/LowerValue",NaturalOccurrence,Unit/HerbariumUnit/NaturalOccurrence will also work
dwc:establishmentMeans,establishmentMeans
